time,mote_id,node,message_type,message,tx,rx,size
1.699823,,10,energy,,0.0,0.006633,
1.699823,,9,energy,,0.0,0.006675,
1.699823,,11,energy,,0.059597,0.006622,
1.699823,,16,energy,,0.0,0.011119,
1.699823,,12,energy,,0.0,0.008827,
1.699823,,17,energy,,0.0,0.008829,
1.699823,,20,energy,,0.0,0.008019,
1.699823,,4,energy,,0.0,0.004413,
1.699823,,2,energy,,0.0,0.008893,
1.699823,,8,energy,,0.0,0.006782,
1.699823,,1,energy,,0.0,0.286925,
1.699823,,3,energy,,0.044145,0.058225,
1.699823,,21,energy,,0.0,0.004413,
1.699823,,18,energy,,0.0,0.006621,
1.699823,,6,energy,,0.0,0.011104,
1.699823,,15,energy,,0.0,0.008829,
1.699823,,13,energy,,0.086075,0.006662,
1.699823,,14,energy,,0.086071,0.004413,
1.699823,,5,energy,,0.0,0.006622,
1.700374,,7,energy,,0.011037,0.011626,
1.700565,,19,energy,,0.0,0.006645,
1.700679,16,,mac_reception,,,,
1.707342,19,,rpl,,,,
1.713989,14,,mac_reception,,,,
1.717312,18,,mac_reception,,,,
1.727303,2,,mac_reception,,,,
1.733956,15,,mac_reception,,,,
1.733971,5,,mac_reception,,,,
1.737305,13,,mac_reception,,,,
1.740605,6,,mac_reception,,,,
1.748814,17,,rpl,,,,
1.753286,17,,mac_reception,,,,
1.753951,12,,mac_reception,,,,
1.760573,4,,mac_reception,,,,
1.767225,21,,mac_reception,,,,
1.770568,20,,mac_reception,,,,
1.773872,9,,mac_reception,,,,
1.787198,8,,mac_reception,,,,
1.797168,11,,mac_reception,,,,
1.797172,3,,mac_reception,,,,
1.800736,,12,energy,,0.0,0.011033,
1.800736,,1,energy,,0.0,0.353138,
1.800736,,3,energy,,0.044145,0.060432,
1.800736,,2,energy,,0.0,0.0111,
1.800736,,10,energy,,0.0,0.006633,
1.800736,,21,energy,,0.0,0.00662,
1.800736,,5,energy,,0.0,0.011036,
1.800736,,4,energy,,0.0,0.008828,
1.800736,,16,energy,,0.0,0.011119,
1.800736,,6,energy,,0.0,0.015519,
1.800736,,17,energy,,0.0,0.013085,
1.800736,,11,energy,,0.059597,0.008829,
1.800736,,8,energy,,0.0,0.00899,
1.800736,,13,energy,,0.086075,0.008869,
1.800736,,14,energy,,0.086071,0.00662,
1.800736,,15,energy,,0.0,0.011036,
1.800736,,20,energy,,0.0,0.010302,
1.800736,,19,energy,,0.0,0.006666,
1.800736,,18,energy,,0.0,0.008828,
1.800736,,9,energy,,0.0,0.008882,
1.80128,,7,energy,,0.077794,0.011626,
1.817128,10,,mac_reception,,,,
1.824933,16,,rpl,,,,
1.848186,1,,mac_reception,,,,
1.855003,2,,mac_reception,,,,
1.858296,15,,mac_reception,,,,
1.858298,5,,mac_reception,,,,
1.861675,13,,mac_reception,,,,
1.864982,6,,mac_reception,,,,
1.874959,17,,mac_reception,,,,
1.878315,12,,mac_reception,,,,
1.884923,4,,mac_reception,,,,
1.891574,21,,mac_reception,,,,
1.891605,20,,mac_reception,,,,
1.898225,9,,mac_reception,,,,
1.898254,7,,mac_reception,,,,
1.901806,,21,energy,,0.0,0.008827,
1.901806,,19,energy,,0.0,0.006851,
1.901806,,11,energy,,0.059597,0.008829,
1.901806,,5,energy,,0.0,0.013244,
1.901806,,9,energy,,0.0,0.01109,
1.901806,,3,energy,,0.044145,0.060432,
1.901806,,18,energy,,0.0,0.008828,
1.901806,,6,energy,,0.0,0.017725,
1.901806,,15,energy,,0.0,0.013244,
1.901806,,4,energy,,0.0,0.011035,
1.901806,,12,energy,,0.0,0.013241,
1.901806,,1,energy,,0.0,0.401697,
1.901806,,7,energy,,0.086078,0.013834,
1.901806,,13,energy,,0.086075,0.011077,
1.901806,,17,energy,,0.0,0.015291,
1.901806,,10,energy,,0.0,0.011047,
1.901806,,2,energy,,0.0,0.013307,
1.901806,,8,energy,,0.0,0.00899,
1.901806,,14,energy,,0.086071,0.00662,
1.901806,,20,energy,,0.0,0.012509,
1.901902,,16,energy,,0.039827,0.011119,
1.911562,8,,mac_reception,,,,
1.918207,3,,mac_reception,,,,
1.921538,11,,mac_reception,,,,
1.939135,10,,rpl,,,,
1.943624,10,,mac_reception,,,,
1.958083,19,,mac_reception,,,,
1.964775,14,,mac_reception,,,,
1.966596,18,,rpl,,,,
1.971027,18,,mac_reception,,,,
1.999379,,8,energy,,0.0,0.011196,
1.999379,,20,energy,,0.0,0.012509,
1.999379,,9,energy,,0.0,0.01109,
1.999379,,1,energy,,0.0,0.452457,
1.999379,,2,energy,,0.0,0.013307,
