time,mote_id,node,message_type,message,tx,rx,size
2.198215,,16,energy,,0.086077,0.015511,
2.198215,,1,energy,,0.0,0.576064,
2.198215,,17,energy,,0.0,0.017499,
2.198215,,20,energy,,0.0,0.019063,
2.198215,,13,energy,,0.086076,0.013289,
2.198215,,7,energy,,0.086078,0.020454,
2.198215,,8,energy,,0.0,0.015626,
2.198215,,9,energy,,0.0,0.018776,
2.198215,,4,energy,,0.0,0.017015,
2.198215,,2,energy,,0.0,0.015523,
2.198215,,3,energy,,0.044139,0.069207,
2.198215,,11,energy,,0.059597,0.015449,
2.199589,,19,energy,,0.0,0.011267,
2.200326,,15,energy,,0.044048,0.017482,
2.20127,16,,mac_reception,,,,
2.207964,19,,mac_reception,,,,
2.214578,14,,mac_reception,,,,
2.217921,18,,mac_reception,,,,
2.227906,2,,mac_reception,,,,
2.23124,5,,mac_reception,,,,
2.237884,13,,mac_reception,,,,
2.241244,6,,mac_reception,,,,
2.251167,17,,mac_reception,,,,
2.254529,12,,mac_reception,,,,
2.257862,4,,mac_reception,,,,
2.267798,21,,mac_reception,,,,
2.299785,1,,mac_reception,,,,
2.300167,,18,energy,,0.086082,0.015448,
2.300167,,20,energy,,0.0,0.02127,
2.300167,,12,energy,,0.0,0.019863,
2.300167,,7,energy,,0.086078,0.020454,
2.300167,,4,energy,,0.0,0.019223,
2.300167,,17,energy,,0.0,0.019706,
2.300167,,13,energy,,0.086076,0.015497,
2.300167,,5,energy,,0.0,0.017663,
2.300167,,2,energy,,0.0,0.017927,
2.300167,,11,energy,,0.059597,0.015449,
2.300167,,1,energy,,0.0,0.626831,
2.300167,,9,energy,,0.0,0.018776,
2.300167,,19,energy,,0.0,0.013475,
2.300167,,3,energy,,0.044139,0.069207,
2.300167,,14,energy,,0.086078,0.013242,
2.300167,,10,energy,,0.0,0.02178,
2.300167,,8,energy,,0.0,0.015626,
2.300167,,15,energy,,0.086082,0.017482,
2.300167,,21,energy,,0.0,0.017775,
2.300167,,16,energy,,0.086077,0.015511,
2.300807,,6,energy,,0.007262,0.024357,
2.316584,10,,mac_reception,,,,
2.326563,16,,mac_reception,,,,
2.333168,19,,mac_reception,,,,
2.339849,14,,mac_reception,,,,
2.343167,18,,mac_reception,,,,
2.353157,2,,mac_reception,,,,
2.356481,5,,mac_reception,,,,
2.35984,15,,mac_reception,,,,
2.363151,13,,mac_reception,,,,
2.376437,17,,mac_reception,,,,
2.379775,12,,mac_reception,,,,
2.38312,4,,mac_reception,,,,
2.389737,21,,mac_reception,,,,
2.393084,20,,mac_reception,,,,
2.399701,7,,mac_reception,,,,
2.399706,9,,mac_reception,,,,
