time,mote_id,message,message_type,source,destination
112.550685,8,H37,data,3,
112.558245,8,H38,data,11,
112.916074,8,H53,data,4,
112.930785,8,H37,data,7,
112.938313,8,H54,data,12,
112.945683,8,H55,data,14,
112.952962,8,H37,data,1,
112.96029,8,H54,data,6,
113.327643,8,H54,data,10,
113.335087,8,H38,data,15,
113.531506,8,H38,data,9,
113.567921,8,H54,data,2,
113.647022,8,H38,data,7,
113.808514,8,H38,data,5,
113.887651,8,H39,data,13,
114.128114,8,H55,data,12,
114.789547,8,H55,data,10,
114.797005,8,H39,data,15,
115.1187,8,H54,data,4,
115.126048,8,H38,data,3,
115.133571,8,H39,data,11,
115.14094,8,H56,data,14,
115.148232,8,H38,data,1,
115.155467,8,H55,data,6,
115.73417,8,H39,data,9,
115.741491,8,H39,data,7,
115.779895,8,H55,data,2,
115.974659,8,H40,data,13,
116.215128,8,H56,data,12,
116.330434,8,H55,data,4,
116.445909,8,H39,data,3,
116.561512,8,H40,data,11,
116.645506,8,H39,data,5,
116.653068,8,H56,data,10,
116.802052,8,H57,data,14,
117.011102,8,H40,data,15,
117.04255,8,H39,data,1,
117.049897,8,H56,data,6,
117.501401,8,H56,data,2,
117.532891,8,H40,data,9,
117.648266,8,H40,data,7,
117.866914,8,H40,data,5,
118.013957,8,H57,data,12,
118.129397,8,H41,data,13,
118.482437,8,H57,data,10,
118.619993,8,H56,data,4,
118.627326,8,H40,data,3,
118.860441,8,H58,data,14,
118.867745,8,H40,data,1,
119.097988,8,H41,data,15,
119.351078,8,H41,data,11,
119.359351,8,H57,data,6,
119.588354,8,H57,data,2,
119.82871,8,H41,data,5,
119.841406,8,H41,data,9,
119.848822,8,H41,data,7,
120.332024,8,H42,data,13,
120.339359,8,H57,data,4,
120.697436,8,H41,data,3,
120.712234,8,H58,data,12,
120.937782,8,H41,data,1,
121.059912,8,H58,data,10,
121.06737,8,H42,data,15,
121.178533,8,H42,data,11,
121.200453,8,H58,data,6,
121.55882,8,H59,data,14,
121.80024,8,H58,data,2,
121.916699,8,H42,data,9,
121.924026,8,H42,data,7,
122.024889,8,H59,data,12,
122.173156,8,H42,data,5,
122.515439,8,H58,data,4,
122.530214,8,H43,data,13,
122.537329,8,H42,data,3,
122.630751,8,H43,data,11,
122.781403,8,H59,data,10,
122.788709,8,H43,data,15,
122.996505,8,H60,data,14,
123.003805,8,H42,data,1,
123.011151,8,H59,data,6,
123.512011,8,H59,data,2,
123.877572,8,H43,data,5,
124.611821,8,H43,data,9,
124.619252,8,H43,data,7,
124.634495,8,H44,data,13,
124.641168,8,H60,data,12,
124.648412,8,H59,data,4,
124.655828,8,H43,data,3,
124.663282,8,H44,data,11,
124.854511,8,H43,data,1,
124.868691,8,H60,data,10,
124.875955,8,H44,data,15,
125.345512,8,H61,data,14,
125.483809,8,H60,data,2,
125.72417,8,H44,data,5,
126.210887,8,H44,data,9,
126.218306,8,H44,data,7,
126.225779,8,H45,data,13,
126.233308,8,H61,data,12,
126.339959,8,H61,data,10,
126.576251,8,H60,data,4,
126.705418,8,H45,data,15,
126.816941,8,H62,data,14,
126.932182,8,H44,data,1,
127.547588,8,H45,data,9,
127.570675,8,H61,data,2,
127.663199,8,H45,data,7,
127.811178,8,H45,data,5,
127.903797,8,H46,data,13,
128.144266,8,H62,data,12,
128.259549,8,H61,data,4,
128.551808,8,H62,data,10,
128.79226,8,H46,data,15,
129.000213,8,H60,data,6,
129.007684,8,H44,data,3,
129.015201,8,H45,data,11,
129.022433,8,H61,data,6,
129.029782,8,H45,data,3,
129.037387,8,H46,data,11,
129.044689,8,H45,data,1,
129.05206,8,H62,data,6,
129.740954,8,H46,data,7,
129.782788,8,H62,data,2,
129.790019,8,H46,data,5,
130.530744,8,H63,data,10,
130.538099,8,H47,data,15,
130.856675,8,H62,data,4,
130.864323,8,H63,data,12,
130.871602,8,H46,data,3,
130.894076,8,H46,data,1,
131.347298,8,H47,data,11,
131.361905,8,H63,data,6,
131.51363,8,H63,data,2,
