time,mote_id,node,strobes,message_type,message,tx,rx,size
10.739897,,5,,energy,,0.08608,0.004415,
10.748144,,4,,energy,,0.086076,0.009885,
10.760906,,2,,energy,,0.186541,0.009054,
10.775442,,6,,energy,,0.086078,0.004416,
10.799126,,3,,energy,,0.183954,0.007678,
10.801556,,7,,energy,,0.08608,0.004414,
10.822961,5,0,,parent,,,,
10.864897,,5,,energy,,0.08608,0.004415,
10.873144,,4,,energy,,0.086076,0.009885,
10.885906,,2,,energy,,0.186541,0.009054,
10.900442,,6,,energy,,0.086078,0.004416,
10.924126,,3,,energy,,0.183954,0.007678,
10.926556,,7,,energy,,0.08608,0.004414,
10.989897,,5,,energy,,0.08608,0.004415,
10.998144,,4,,energy,,0.086076,0.009885,
11.007231,3,2,,parent,,,,
11.008758,3,2,,neighbor,,,,
11.010906,,2,,energy,,0.186541,0.009054,
11.013078,3,3,,udp_sending,         1,,,10
11.025442,,6,,energy,,0.086078,0.004416,
11.051556,,7,,energy,,0.08608,0.004414,
11.114897,,5,,energy,,0.08608,0.004415,
11.139824,,4,,energy,,0.086076,0.014378,
11.140401,,1,,energy,,0.107987,0.186861,
11.14047,,2,,energy,,0.186861,0.010973,
11.141038,,3,,energy,,0.253036,0.007998,
11.144491,1,,,overhearing,,,,
11.149859,3,3,35,mac,,,,32
11.150442,,6,,energy,,0.086078,0.004416,
11.160408,2,2,,forwarding,,,,
11.174126,,3,,energy,,0.253036,0.007998,
11.176556,,7,,energy,,0.08608,0.004414,
11.239897,,5,,energy,,0.08608,0.004415,
11.248144,,4,,energy,,0.086076,0.014378,
11.256189,,1,,energy,,0.108308,0.189069,
11.256808,,2,,energy,,0.189069,0.011294,
11.265519,2,2,0,mac,,,,41
11.275442,,6,,energy,,0.086078,0.004416,
11.29334,1,3,,udp_reception,         1,,,10
11.299126,,3,,energy,,0.253036,0.007998,
11.300182,,7,,energy,,0.08608,0.004414,
11.614897,,5,,energy,,0.08608,0.004415,
11.623144,,4,,energy,,0.086076,0.014378,
11.635906,,2,,energy,,0.189069,0.011294,
11.650442,,6,,energy,,0.086078,0.004416,
11.674126,,3,,energy,,0.253036,0.007998,
11.676556,,7,,energy,,0.08608,0.004414,
11.70758,1,1,,dio,,,,
11.739897,,5,,energy,,0.08608,0.004415,
11.748144,,4,,energy,,0.086076,0.014378,
11.75308,3,3,,dao,,,,
11.775442,,6,,energy,,0.086078,0.004416,
11.799126,,3,,energy,,0.253036,0.007998,
11.801556,,7,,energy,,0.08608,0.004414,
11.802381,,2,,energy,,0.189069,0.014557,
11.80558,,1,,energy,,0.166971,0.189069,
11.864897,,5,,energy,,0.08608,0.004415,
11.89062,,4,,energy,,0.086076,0.014378,
11.891197,,1,,energy,,0.215973,0.18939,
11.891249,,2,,energy,,0.18939,0.01974,
11.891831,,3,,energy,,0.2634,0.008319,
11.900442,,6,,energy,,0.086078,0.004416,
11.900514,3,3,3,mac,,,,53
11.906226,1,,,overhearing,,,,
11.926556,,7,,energy,,0.08608,0.004414,
11.989897,,5,,energy,,0.08608,0.004415,
11.9958,,3,,energy,,0.2634,0.008319,
11.996408,,1,,energy,,0.216294,0.19198,
11.997012,,2,,energy,,0.19198,0.020061,
11.998144,,4,,energy,,0.086076,0.014378,
12.005695,2,2,0,mac,,,,53
12.010906,,2,,energy,,0.19198,0.020061,
12.025442,,6,,energy,,0.086078,0.004416,
12.049126,,3,,energy,,0.2634,0.008319,
12.051556,,7,,energy,,0.08608,0.004414,
12.094227,4,4,,dio,,,,
12.135906,,2,,energy,,0.19198,0.020061,
12.150442,,6,,energy,,0.086078,0.004416,
12.176556,,7,,energy,,0.08608,0.004414,
12.198138,,5,,energy,,0.08608,0.004415,
12.198138,,3,,energy,,0.2634,0.011581,
12.201208,,4,,energy,,0.144613,0.014378,
12.253769,,5,,energy,,0.08608,0.007678,
12.253842,,4,,energy,,0.183957,0.014378,
12.260906,,2,,energy,,0.19198,0.020061,
12.275442,,6,,energy,,0.086078,0.004416,
12.299126,,3,,energy,,0.2634,0.011581,
