mote_id,monitored_time,tx_time,rx_time,on_time,int_time
13,29.479093,0.385046,0.333335,1.23464,0.122792
14,29.457368,0.287171,0.226707,0.975301,0.125714
15,29.476768,0.28718,0.223583,0.964274,0.112315
16,29.443542,0.28717,0.272191,1.007911,0.109245
17,29.492416,0.287163,0.229966,0.97785,0.12193
18,29.460142,0.287179,0.312755,1.053205,0.10253
19,29.450963,0.385049,0.263306,1.112735,0.097398
20,29.386308,0.385054,0.223339,1.076621,0.089223
21,29.38445,0.28717,0.21305,0.933893,0.106256
1,28.933101,0.120489,6.465843,28.183883,0.0
2,29.470752,0.287173,0.253557,1.030264,0.11404
3,29.412935,0.245246,0.313696,1.086424,0.138279
4,29.501108,0.385051,0.304809,1.234054,0.108108
5,29.474451,0.287172,0.23576,0.983373,0.119537
6,29.482223,0.385049,0.246842,1.119671,0.123685
7,29.391971,0.385056,0.217619,1.094562,0.121309
8,29.404609,0.385051,0.309547,1.219567,0.113688
9,29.391891,0.294946,0.252785,1.005341,0.11523
10,29.432615,0.287176,0.25766,1.009658,0.109116
11,29.414135,0.260688,0.253312,0.99648,0.149667
12,29.49648,0.385053,0.24098,1.100178,0.106922
13,29.479093,0.385046,0.333335,1.23464,0.122792
14,29.457368,0.287171,0.226707,0.975301,0.125714
15,29.476768,0.28718,0.223583,0.964274,0.112315
16,29.443542,0.28717,0.272191,1.007911,0.109245
17,29.492416,0.287163,0.229966,0.97785,0.12193
18,29.460142,0.287179,0.312755,1.053205,0.10253
19,29.450963,0.385049,0.263306,1.112735,0.097398
20,29.386308,0.385054,0.223339,1.076621,0.089223
21,29.508076,0.28717,0.21305,0.933893,0.106256
1,28.933101,0.120489,6.465843,28.183883,0.0
2,29.470752,0.287173,0.253557,1.030264,0.11404
3,29.412935,0.245246,0.313696,1.086424,0.138279
4,29.501108,0.385051,0.304809,1.234054,0.108108
5,29.474451,0.287172,0.23576,0.983373,0.119537
6,29.482223,0.385049,0.246842,1.119671,0.123685
7,29.516572,0.385056,0.217619,1.094961,0.121309
8,29.404609,0.385051,0.309547,1.219567,0.113688
9,29.516491,0.294946,0.252785,1.00574,0.11523
10,29.432615,0.287176,0.25766,1.009658,0.109116
11,29.414135,0.260688,0.253312,0.99648,0.149667
12,29.49648,0.385053,0.24098,1.100178,0.106922
13,29.479093,0.385046,0.333335,1.23464,0.122792
14,29.457368,0.287171,0.226707,0.975301,0.125714
15,29.476768,0.28718,0.223583,0.964274,0.112315
16,29.443542,0.28717,0.272191,1.007911,0.109245
17,29.492416,0.287163,0.229966,0.97785,0.12193
18,29.460142,0.287179,0.312755,1.053205,0.10253
19,29.450963,0.385049,0.263306,1.112735,0.097398
20,29.511307,0.385054,0.223339,1.077418,0.089223
21,29.509449,0.28717,0.21305,0.934689,0.106256
1,28.933101,0.120489,6.465843,28.183883,0.0
2,29.845752,0.287173,0.253557,1.032659,0.11404
3,29.787935,0.245246,0.313696,1.088819,0.138279
4,29.751108,0.385051,0.304809,1.235649,0.108108
5,29.84945,0.287172,0.23576,0.985767,0.119537
6,29.857224,0.385049,0.246842,1.122066,0.123685
7,29.766971,0.385056,0.217619,1.096956,0.121309
8,29.779609,0.385051,0.309547,1.221962,0.113688
9,29.76689,0.294946,0.252785,1.007736,0.11523
10,29.807615,0.287176,0.25766,1.012051,0.109116
11,29.789135,0.260688,0.253312,0.99887,0.149667
