bin_time,mote_id,tx_time,rx_time,on_time,int_time
150,7,2.117562,0.622972,5.830244,0.339265
150,8,0.894363,4.1149,159.070968,0.013048
150,9,2.830903,0.615212,6.979315,0.279065
160,1,2.835776,2.411204,12.139085,0.949121
160,10,2.348043,0.366789,5.730219,0.159473
160,11,1.315615,0.27321,4.132122,0.214399
160,12,1.488271,0.723318,4.795508,0.311817
160,13,1.376564,0.129537,3.595411,0.079809
160,14,1.409718,0.148297,3.640649,0.049286
160,15,1.320482,0.160029,4.165984,0.256668
160,2,1.514324,0.98554,6.501025,0.497781
160,3,2.870891,0.65779,7.310664,0.302479
160,4,4.977368,1.485489,12.870778,0.794609
160,5,2.870755,0.665708,7.336965,0.459085
160,6,2.12947,0.371457,5.523837,0.265764
160,7,2.219941,0.661181,6.155194,0.358045
160,8,0.920274,4.330373,169.040104,0.017484
160,9,2.975596,0.649741,7.371856,0.291163
170,1,2.994756,2.570702,12.889589,1.007332
170,10,2.455649,0.383101,6.032325,0.170272
170,11,1.360746,0.283595,4.337672,0.229781
170,12,1.538958,0.765288,5.026306,0.327354
170,13,1.419521,0.133087,3.750529,0.082867
170,14,1.47023,0.150218,3.823676,0.050591
170,15,1.373883,0.169225,4.382992,0.267591
170,2,1.572911,1.041069,6.866972,0.539012
170,3,3.007069,0.692509,7.695024,0.315071
170,4,5.291993,1.575849,13.672809,0.831154
170,5,3.038261,0.699138,7.770966,0.483861
170,6,2.225507,0.388612,5.794697,0.270867
170,7,2.328158,0.689477,6.473348,0.372048
170,8,0.947785,4.54794,179.350666,0.017484
170,9,3.126702,0.684283,7.775117,0.303335
180,1,3.138864,2.715721,13.623032,1.077026
180,10,2.572407,0.401468,6.34398,0.178941
180,11,1.405857,0.303331,4.54439,0.23933
180,12,1.591528,0.802392,5.255306,0.342476
180,13,1.477866,0.136006,3.936956,0.087188
180,14,1.532475,0.153025,4.009042,0.050591
180,15,1.425387,0.180538,4.604995,0.282545
180,2,1.630003,1.094199,7.202576,0.562487
180,3,3.16152,0.729006,8.121657,0.335566
180,4,5.601902,1.660359,14.469296,0.873732
180,5,3.166076,0.736605,8.156663,0.514767
180,6,2.320186,0.40491,6.070697,0.279602
180,7,2.431655,0.722291,6.797667,0.389962
180,8,0.973062,4.74914,189.296427,0.017484
180,9,3.271491,0.716901,8.174724,0.327524
190,1,3.291171,2.864923,14.356548,1.141123
190,10,2.681963,0.417886,6.639397,0.187149
190,11,1.451565,0.323583,4.747683,0.250614
190,12,1.655977,0.836131,5.494481,0.357242
190,13,1.520827,0.137607,4.08572,0.088144
190,14,1.577624,0.154942,4.161012,0.050591
190,15,1.476883,0.185216,4.81661,0.296589
190,2,1.687762,1.150498,7.517601,0.579918
190,3,3.302605,0.771887,8.517496,0.349316
190,4,5.878291,1.743673,15.197263,0.905091
190,5,3.299984,0.769899,8.526942,0.535012
190,6,2.428746,0.424336,6.36591,0.287651
190,7,2.523271,0.757427,7.0935,0.405102
190,8,0.99929,4.959206,199.039855,0.017484
190,9,3.413967,0.749539,8.556212,0.33823
